,1,2,3
3.52,0.0004904752527158284,0.003520002000894118,0.002365991815966433
3.5300000000000002,0.0004984663811732464,0.003565239527085814,0.002434738107105386
3.54,0.0005065580275477824,0.003610423799933941,0.0025046380003742705
3.5500000000000003,0.0005147508246457678,0.003655537243537237,0.0025756756115938714
3.56,0.0005230453954550177,0.0037005620628842964,0.0026478333307414057
3.5700000000000003,0.0005314423527829786,0.003745480253783937,0.002721091793603544
3.58,0.0005399422988915596,0.0037902736131503398,0.00279542985572106
3.59,0.0005485458251283859,0.0038349237496347996,0.0028708245687459884
3.6,0.0005572535115548797,0.0038794120946028555,0.0029472511593513838
3.61,0.0005660659265710101,0.0039237199134431805,0.003024683010809249
3.62,0.0005749836265370763,0.003967828317207572,0.0031030916473708636
3.63,0.0005840071553923507,0.0040117182745706284,0.0031824467215641767
3.64,0.0005931370442707918,0.0040553706240986885,0.0032627160045234347
3.65,0.0006023738111141101,0.004098766086826218,0.003343865379473565
3.66,0.0006117179602819552,0.004141885279120547,0.0034258588384666216
3.67,0.0006211699821596184,0.004184708725832723,0.0035086584824788676
3.68,0.0006307303527631818,0.004227216873720626,0.0035922245249704206
3.69,0.0006403995333424821,0.004269390105131955,0.0036765152989895722
3.7,0.0006501779699816706,0.0043112087519391875,0.003761487267916125
3.71,0.0006600660931977828,0.004352653109709449,0.0038470950399193964
3.72,0.0006700643175373283,0.004393703452101253,0.00393329138619898
3.73,0.00068017304117099,0.0044343400454730396,0.004020027263080685
